kabupaten,jumlah_miskin_ribu,persentase_miskin,tahun
Bogor,395.03,6.66,2019
Sukabumi,153.3,6.22,2019
Cianjur,207.07,9.15,2019
Bandung,223.21,5.94,2019
Garut,235.19,8.98,2019
Tasikmalaya,159.93,9.12,2019
Ciamis,79.41,6.65,2019
Kuningan,123.16,11.41,2019
Cirebon,217.64,9.94,2019
Majalengka,121.06,10.06,2019
Sumedang,104.18,9.05,2019
Indramayu,191.86,11.11,2019
Subang,129.18,8.12,2019
Purwakarta,71.86,7.48,2019
Karawang,173.66,7.39,2019
Bekasi,149.43,4.01,2019
Bandung Barat,159.03,9.38,2019
Pangandaran,30.73,7.71,2019
Kota Bogor,63.97,5.77,2019
Kota Sukabumi,21.87,6.67,2019
Kota Bandung,84.67,3.38,2019
Kota Cirebon,26.8,8.41,2019
Kota Bekasi,113.65,3.81,2019
Kota Depok,49.35,2.07,2019
Kota Cimahi,26.91,4.39,2019
Kota Tasikmalaya,76.98,11.6,2019
Kota Banjar,10.07,5.5,2019
Bogor,465.67,7.69,2020
Sukabumi,175.1,7.09,2020
Cianjur,234.47,10.36,2020
Bandung,263.6,6.91,2020
Garut,262.78,9.98,2020
Tasikmalaya,181.52,10.34,2020
Ciamis,91.39,7.62,2020
Kuningan,139.2,12.82,2020
Cirebon,247.94,11.24,2020
Majalengka,138.21,11.43,2020
Sumedang,118.38,10.26,2020
Indramayu,220.31,12.7,2020
Subang,149.81,9.31,2020
Purwakarta,80.17,8.27,2020
Karawang,195.41,8.26,2020
Bekasi,186.3,4.82,2020
Bandung Barat,179.46,10.49,2020
Pangandaran,36.05,8.99,2020
Kota Bogor,75.04,6.68,2020
Kota Sukabumi,25.42,7.7,2020
Kota Bandung,100.02,3.99,2020
Kota Cirebon,30.61,9.52,2020
Kota Bekasi,134.01,4.38,2020
Kota Depok,60.43,2.45,2020
Kota Cimahi,31.64,5.11,2020
Kota Tasikmalaya,86.13,12.97,2020
Kota Banjar,11.16,6.09,2020
Bogor,491.24,8.13,2021
Sukabumi,194.35,7.7,2021
Cianjur,260.02,11.18,2021
Bandung,269.18,7.15,2021
Garut,281.36,10.65,2021
Tasikmalaya,200.59,11.15,2021
Ciamis,96.6,7.97,2021
Kuningan,143.35,13.1,2021
Cirebon,271.02,12.3,2021
Majalengka,151.14,12.33,2021
Sumedang,126.28,10.71,2021
Indramayu,228.59,13.04,2021
Subang,158.97,10.03,2021
Purwakarta,84.27,8.83,2021
Karawang,210.78,8.95,2021
Bekasi,202.73,5.21,2021
Bandung Barat,190.77,11.3,2021
Pangandaran,39.07,9.65,2021
Kota Bogor,80.09,7.24,2021
Kota Sukabumi,27.19,8.25,2021
Kota Bandung,112.5,4.37,2021
Kota Cirebon,31.98,10.03,2021
Kota Bekasi,144.12,4.74,2021
Kota Depok,63.86,2.58,2021
Kota Cimahi,32.48,5.35,2021
Kota Tasikmalaya,89.46,13.13,2021
Kota Banjar,13.37,7.11,2021
Bogor,474.74,7.73,2022
Sukabumi,186.28,7.34,2022
Cianjur,246.81,10.55,2022
Bandung,258.61,6.8,2022
Garut,276.67,10.42,2022
Tasikmalaya,194.1,10.73,2022
Ciamis,93.96,7.72,2022
Kuningan,140.25,12.76,2022
Cirebon,266.1,12.01,2022
Majalengka,147.12,11.94,2022
Sumedang,120.12,10.14,2022
Indramayu,225.04,12.77,2022
Subang,155.34,9.75,2022
Purwakarta,83.44,8.7,2022
Karawang,199.91,8.44,2022
Bekasi,201.14,5.01,2022
Bandung Barat,183.67,10.82,2022
Pangandaran,37.91,9.32,2022
Kota Bogor,79.15,7.1,2022
Kota Sukabumi,26.59,8.02,2022
Kota Bandung,109.82,4.25,2022
Kota Cirebon,31.47,9.82,2022
Kota Bekasi,137.39,4.43,2022
Kota Depok,64.36,2.53,2022
Kota Cimahi,31.16,5.11,2022
Kota Tasikmalaya,87.13,12.72,2022
Kota Banjar,12.73,6.73,2022
Bogor,453.76,7.27,2023
Sukabumi,178.71,7.01,2023
Cianjur,240.06,10.22,2023
Bandung,245.49,6.4,2023
Garut,260.48,9.77,2023
Tasikmalaya,186.87,10.28,2023
Ciamis,90.84,7.42,2023
Kuningan,133.88,12.12,2023
Cirebon,249.18,11.2,2023
Majalengka,138.74,11.21,2023
Sumedang,111.39,9.36,2023
Indramayu,214.74,12.13,2023
Subang,152.33,9.52,2023
Purwakarta,81.54,8.46,2023
Karawang,187.23,7.87,2023
Bekasi,204.09,4.93,2023
Bandung Barat,179.43,10.52,2023
Pangandaran,36.7,8.98,2023
Kota Bogor,74.95,6.67,2023
Kota Sukabumi,24.96,7.5,2023
Kota Bandung,102.8,3.96,2023
Kota Cirebon,29.49,9.16,2023
Kota Bekasi,129.4,4.1,2023
Kota Depok,61.95,2.38,2023
Kota Cimahi,28.56,4.66,2023
Kota Tasikmalaya,79.37,11.53,2023
Kota Banjar,11.66,6.14,2023
